ticker,mcap_usd,price,name
NSIT,4424779370.0,150.76,Insight Enterprises Inc. Common Stock
IBOC,4422438561.0,71.11,International Bancshares Corporation Common Stock
COLD,4416384124.0,15.47,Americold Realty Trust Inc. Common Stock
CRK,4416053042.0,15.04,Comstock Resources Inc. Common Stock
MAT,4415493500.0,15.46,Mattel Inc. Common Stock
CRGY,4414193379.0,13.36,Crescent Energy Company Class A Common Stock
NWE,4411445024.0,71.71,NorthWestern Energy Group Inc. Common Stock
SKT,4402162858.0,38.32,Tanger Inc. Common Stock
KLIC,4395645660.0,84.0,Kulicke and Soffa Industries Inc. Common Stock
OXLCM,4373852000.0,25.2,Oxford Lane Capital Corp. Preferred Stock Shares 8.25% Serie
CBT,4372888138.0,84.69,Cabot Corporation Common Stock
CNK,4372195171.0,37.72,Cinemark Holdings Inc Cinemark Holdings Inc. Common Stock
MIAX,4370128748.0,44.04,Miami International Holdings Inc. Common Stock
VEON,4365799763.0,63.4,VEON Ltd. ADS
PTEN,4364949883.0,11.45,Patterson-UTI Energy Inc. Common Stock
SKE,4356065118.0,34.72,Skeena Resources Limited Common Shares
CENX,4355704980.0,44.0,Century Aluminum Company Common Stock
GMAB,4353436910.0,33.88,Genmab A/S ADS
ITRI,4348462440.0,99.31,Itron Inc. Common Stock
PAM,4346357547.0,79.69,Pampa Energia S.A.
KFY,4344728852.0,84.6,Korn Ferry Common Stock
OXLCZ,4343454640.0,25.02,Oxford Lane Capital Corp. 5.00% Notes due 2027
KTB,4342230109.0,79.45,Kontoor Brands Inc. Common Stock 
BEPH,4339053177.0,15.11,Brookfield BRP Holdings (Canada) Inc. 4.625% Perpetual Subor
HTFL,4338985987.0,49.9,Heartflow Inc. Common Stock
KRC,4326694354.0,37.2,Kilroy Realty Corporation Common Stock
LIVN,4326493105.0,78.53,LivaNova PLC Ordinary Shares
CCC,4326166101.0,7.34,CCC Intelligent Solutions Holdings Inc. Common Stock
MANE,4324870778.0,103.52,Veradermics Incorporated Common Stock
ARIS,4317454560.0,20.92,Aris Mining Corporation Common Shares
TCBI,4311353174.0,99.17,Texas Capital Bancshares Inc. Common Stock
FBP,4303718475.0,28.19,First BanCorp. New Common Stock
RLAY,4301750217.0,19.63,Relay Therapeutics Inc. Common Stock
OXLCN,4294864000.0,24.74,Oxford Lane Capital Corp. 7.125% Series 2029 Term Preferred 
CNS,4292669575.0,83.48,Cohen & Steers Inc Common Stock
CDP,4288049417.0,37.81,COPT Defense Properties Common Shares of Beneficial Interest
BWIN,4286783804.0,30.73,The Baldwin Insurance Group Inc. Class A Common Stock
GEO,4284217459.0,32.55,Geo Group Inc (The) REIT
VVV,4281800188.0,33.56,Valvoline Inc. Common Stock
NG,4271529277.0,9.73,Novagold Resources Inc.
ARX,4271012875.0,19.66,Accelerant Holdings Class A Common Shares
TGS,4266649688.0,28.34,Transportadora de Gas del Sur SA TGS Common Stock
ITGR,4265662104.0,125.49,Integer Holdings Corporation Common Stock
MDU,4257472989.0,20.24,MDU Resources Group Inc. Common Stock (Holding Company)
REGCP,4255721512.0,23.24,Regency Centers Corporation 6.25% Series A Cumulative Redeem
DIOD,4252874957.0,92.35,Diodes Incorporated Common Stock
OPLN,4251693398.0,34.83,OPENLANE Inc. Common Stock
SLG,4247097675.0,59.95,SL Green Realty Corp Common Stock
LMND,4246752265.0,54.87,Lemonade Inc. Common Stock
OXLCL,4246256000.0,24.46,Oxford Lane Capital Corp. 6.75% Notes due 2031
ELC,4243427285.0,19.9,Entergy Louisiana Inc. Collateral Trust Mortgage Bonds 4.875
UCB,4243051951.0,35.19,United Community Banks Inc. Common Stock
ERO,4232642721.0,40.59,Ero Copper Corp. Common Shares
SMR,4230625613.0,9.85,NuScale Power Corporation Class A Common Stock
TNGX,4229591056.0,25.09,Tango Therapeutics Inc.
PHI,4223890401.0,19.55,PLDT Inc. Sponsored ADR
SITE,4223222429.0,96.74,SiteOne Landscape Supply Inc. Common Stock
AXTI,4218980460.0,64.34,AXT Inc Common Stock
MDA,4218207374.0,30.38,MDA Space Ltd. Common Shares
FCN,4202757831.0,152.21,FTI Consulting Inc. Common Stock
LAZ,4194769617.0,43.05,Lazard Inc. Common Stock
AZZ,4188277694.0,139.37,AZZ Inc.
SEZL,4178732487.0,124.09,Sezzle Inc. Common Stock
ADPT,4178219144.0,26.18,Adaptive Biotechnologies Corporation Common Stock
HP,4177447901.0,41.8,Helmerich & Payne Inc. Common Stock
CECO,4172514689.0,71.24,CECO Environmental Corp. Common Stock
OXLCO,4166400000.0,24.0,Oxford Lane Capital Corp. Preferred Stock Shares 6.00% Serie
CATY,4150266742.0,62.21,Cathay General Bancorp Common Stock
CLMT,4132974963.0,47.02,Calumet Inc. Common Stock
AVNT,4131048532.0,45.04,Avient Corporation Common Stock
CAAP,4123043788.0,24.95,Corporacion America Airports SA Common Shares
DK,4120312988.0,67.29,Delek US Holdings Inc. Common Stock
BNL,4110347439.0,21.42,Broadstone Net Lease Inc. Common Stock
BFH,4106443460.0,106.89,Bread Financial Holdings Inc. Common Stock
LILAP,4098228000.0,20.92,Liberty Latin America Ltd. 9.0% Fixed Rate Cumulative Perpet
PRIM,4097447570.0,76.11,Primoris Services Corporation Common Stock
MANU,4096909690.0,23.76,Manchester United Ltd. Class A Ordinary Shares
THO,4089627223.0,78.56,Thor Industries Inc. Common Stock
LEGN,4082311789.0,20.99,Legend Biotech Corporation American Depositary Shares
VAC,4065526824.0,118.2,Marriott Vacations Worldwide Corporation Common Stock
OLED,4062548877.0,88.38,Universal Display Corporation Common Stock
SEI,4062229928.0,53.05,Solaris Energy Infrastructure Inc. Class A Common Stock
ATMU,4057745558.0,49.73,Atmus Filtration Technologies Inc. Common Stock
BILL,4043611810.0,47.42,BILL Holdings Inc. Common Stock
WSFS,4042355085.0,79.12,WSFS Financial Corporation Common Stock
SRAD,4034140290.0,12.94,Sportradar Group AG Class A Ordinary Shares
REGCO,4032314445.0,22.02,Regency Centers Corporation 5.875% Series B Cumulative Redee
UUUU,4024108035.0,16.11,Energy Fuels Inc Ordinary Shares (Canada)
SKYW,4023391037.0,103.62,SkyWest Inc. Common Stock
VKTX,4017527150.0,34.44,Viking Therapeutics Inc. Common Stock
DTW,4012624661.0,19.28,DTE Energy Company 2017 Series E 5.25% Junior Subordinated D
IDYA,4012032745.0,41.58,IDEAYA Biosciences Inc. Common Stock
AYA,4008526555.0,27.83,Aya Gold & Silver Inc. Common Shares
HHH,4008475936.0,67.12,Howard Hughes Holdings Inc. Common Stock
LEU,3995559815.0,200.25,Centrus Energy Corp. Class A Common Stock
WK,3987096076.0,73.27,Workiva Inc. Class A Common Stock
IRTC,3985886323.0,120.92,iRhythm Holdings Inc. Common Stock
PLNT,3985370891.0,52.98,Planet Fitness Inc. Common Stock
BMI,3983227581.0,137.41,Badger Meter Inc. Common Stock
CALM,3966504343.0,84.55,Cal-Maine Foods Inc. Common Stock
CVBF,3960822275.0,22.5,CVB Financial Corporation Common Stock
QTWO,3954846530.0,63.42,Q2 Holdings Inc. Common Stock
INDB,3949635475.0,83.38,Independent Bank Corp. Common Stock
RCUS,3949244657.0,31.02,Arcus Biosciences Inc. Common Stock
GEF,3948083970.0,85.52,Greif Inc. Class A Common Stock
IRT,3946364052.0,16.74,Independence Realty Trust Inc. Common Stock
WBI,3941956753.0,31.93,WaterBridge Infrastructure LLC Class A Shares Representing L
JOE,3937025339.0,69.16,St. Joe Company (The) Common Stock
SEB,3933980819.0,4107.34,Seaboard Corporation Common Stock
HAFN,3933278870.0,7.87,Hafnia Limited Common Shares
MWA,3932821467.0,25.19,MUELLER WATER PRODUCTS Common Stock
DNLI,3925852218.0,24.56,Denali Therapeutics Inc. Common Stock
MNDY,3920836543.0,91.38,monday.com Ltd. Ordinary Shares
MHO,3917099993.0,154.93,M/I Homes Inc. Common Stock
TAC,3916820000.0,12.39,TransAlta Corporation Ordinary Shares
APLE,3916611960.0,16.59,Apple Hospitality REIT Inc. Common Shares
USAC,3913470315.0,27.0,USA Compression Partners LP Common Units Representing Limite
GPGI,3912066657.0,13.49,GPGI Inc. Class A Common Stock
SUNC,3910412914.0,75.91,SunocoCorp LLC Common Units representing limited liability c
WSC,3900135371.0,21.52,WillScot Holdings Corporation Class A Common Stock
LOPE,3897244332.0,149.52,Grand Canyon Education Inc. Common Stock
OTTR,3893742689.0,92.74,Otter Tail Corporation Common Stock
ABG,3893052721.0,216.86,Asbury Automotive Group Inc Common Stock
WSBC,3890901917.0,40.57,WesBanco Inc. Common Stock
STNG,3887799631.0,75.11,Scorpio Tankers Inc. Common Shares
DORM,3872074637.0,130.48,Dorman Products Inc. Common Stock
JOYY,3862856973.0,74.69,JOYY Inc. American Depositary Shares
TDS,3844340000.0,33.4,Telephone and Data Systems Inc. Common Shares
CVI,3837252964.0,38.17,CVR Energy Inc. Common Stock
IOVA,3834403172.0,8.46,Iovance Biotherapeutics Inc. Common Stock
MSGE,3801921657.0,80.37,Madison Square Garden Entertainment Corp. Class A Common Sto
PFSI,3800517250.0,73.16,PennyMac Financial Services Inc. Common Stock
LUNR,3784114844.0,16.53,Intuitive Machines Inc. Class A Common Stock
PTRN,3781261582.0,21.32,Pattern Group Inc. Series A Common Stock
FSM,3779252615.0,12.41,Fortuna Mining Corp. Common Shares
TLX,3777364096.0,11.15,Telix Pharmaceuticals Limited American Depositary Shares
BWLP,3774728549.0,23.7,BW LPG Limited Common Shares
PDI,3767870691.0,15.5,PIMCO Dynamic Income Fund Common Stock
KNF,3765117649.0,66.33,Knife Riv Holding Co. Common Stock
BRZE,3757070839.0,30.65,Braze Inc. Class A Common Stock
RNST,3755809467.0,41.09,Renasant Corporation Common Stock
ACLS,3752718543.0,121.52,Axcelis Technologies Inc. Common Stock
BANF,3751131886.0,111.64,BancFirst Corporation Common Stock
FOUR,3751000501.0,47.51,Shift4 Payments Inc. Class A Common Stock
FRMI,3749936323.0,5.86,Fermi Inc. Common Stock
SYNA,3749577818.0,95.88,Synaptics Incorporated Common Stock $0.001 Par Value
FLY,3749027025.0,22.39,Firefly Aerospace Inc. Common Stock
SA,3745288620.0,34.72,Seabridge Gold Inc. Common Shares New
GNW,3738836011.0,9.89,Genworth Financial Inc Common Stock
ASBA,3733286163.0,24.74,Associated Banc-Corp 6.625% Fixed-Rate Reset Subordinated No
IPAR,3731644002.0,116.52,Interparfums Inc. Common Stock
SXI,3727583850.0,307.57,Standex International Corporation Common Stock
WT,3724167688.0,24.58,WisdomTree Inc. Common Stock
MIR,3719028605.0,14.93,Mirion Technologies Inc. Class A Common Stock
COCO,3717103559.0,63.33,The Vita Coco Company Inc. Common Stock
CSTM,3712782109.0,27.39,Constellium SE Ordinary Shares (France)
FSLY,3692558070.0,23.18,Fastly Inc. Class A Common Stock
UNMA,3687281646.0,21.65,Unum Group 6.250% Junior Subordinated Notes due 2058
LBTYA,3687156588.0,10.81,Liberty Global Ltd. Class A Common Shares
BELFB,3685453021.0,255.24,Bel Fuse Inc. Class B Common Stock
PARR,3679817603.0,73.45,Par Pacific Holdings Inc.  Common Stock
SMG,3667877262.0,63.0,Scotts Miracle-Gro Company (The) Common Stock
BATRA,3667836993.0,57.16,Atlanta Braves Holdings Inc. Series A Common Stock
CII,3666994910.0,24.65,BlackRock Enhanced Large Cap Core Fund Inc. Common Stock
TENB,3662705135.0,33.26,Tenable Holdings Inc. Common Stock
ZGN,3659776362.0,13.64,Ermenegildo Zegna N.V. Ordinary Shares
BBWI,3656331270.0,18.14,Bath & Body Works Inc.
KAI,3644411597.0,308.61,Kadant Inc Common Stock
POST,3637645398.0,82.75,Post Holdings Inc. Common Stock
PII,3620771232.0,63.63,Polaris Inc. Common Stock
GRAL,3620198266.0,81.05,GRAIL Inc. Common Stock 
RXO,3612706834.0,21.91,RXO Inc. Common Stock
PRK,3609761293.0,199.83,Park National Corporation Common Stock
OGN,3609566657.0,13.74,Organon & Co. Common Stock 
QS,3603240611.0,5.82,QuantumScape Corporation Class A Common Stock
HNI,3597540912.0,49.84,HNI Corporation Common Stock
NHI,3597339291.0,73.25,National Health Investors Inc. Common Stock
LXP,3596982677.0,61.01,LXP Industrial Trust Common Stock (Maryland REIT)
BFAM,3591230995.0,73.84,Bright Horizons Family Solutions Inc. Common Stock
ABCL,3586079524.0,12.17,AbCellera Biologics Inc. Common Shares
NIC,3585830474.0,171.1,Nicolet Bankshares Inc. Common Stock
LBTYK,3581419443.0,10.5,Liberty Global Ltd. Class C Common Shares
FRPT,3580566803.0,74.5,Freshpet Inc. Common Stock
CORZW,3566878895.0,11.1,Core Scientific Inc. Tranche 1 Warrants
FIBK,3564392302.0,37.4,First Interstate BancSystem Inc. Common Stock (DE)
OPCH,3563390931.0,23.79,Option Care Health Inc. Common Stock
XXI,3554192443.0,6.32,Twenty One Capital Inc. Class A Common Stock
MCHB,3551430423.0,16.12,Mechanics Bancorp Class A Common Stock
SII,3550338000.0,137.61,Sprott Inc. Common Shares
LIF,3549284874.0,43.56,Life360 Inc. Common Stock
LRN,3548379566.0,85.38,Stride Inc. Common Stock
MNSO,3545621364.0,11.46,MINISO Group Holding Limited American Depositary Shares each
CRVL,3543232290.0,70.14,CorVel Corp. Common Stock
AWR,3543195078.0,89.39,American States Water Company Common Stock
NHC,3537204368.0,225.85,National HealthCare Corporation Common Stock
APAM,3533146915.0,43.58,Artisan Partners Asset Management Inc. Class A Common Stock
FA,3529538350.0,20.55,First Advantage Corporation Common Stock
VCYT,3514280806.0,43.72,Veracyte Inc. Common Stock
HIW,3512149758.0,31.84,Highwoods Properties Inc. Common Stock
QURE,3503003806.0,50.5,uniQure N.V. Ordinary Shares
KBH,3488830072.0,56.91,KB Home Common Stock
PLSE,3488388708.0,48.91,Pulse Biosciences Inc Common Stock (DE)
PLMR,3481961049.0,132.31,Palomar Holdings Inc. Common stock
GPCR,3481703768.0,48.83,Structure Therapeutics Inc. American Depositary Shares
LION,3481448256.0,11.7,Lionsgate Studios Corp Common Shares
HGV,3478155489.0,44.75,Hilton Grand Vacations Inc. Common Stock 
CURB,3476449116.0,30.22,Curbline Properties Corp. Common Stock
PVH,3476319596.0,75.39,PVH Corp. Common Stock
USLM,3466988669.0,120.85,United States Lime & Minerals Inc. Common Stock
NTRSO,3456947063.0,18.89,Northern Trust Corporation Depositary Shares Each Representi
KEN,3456871057.0,66.34,Kenon Holdings Ltd. Ordinary Shares
WIX,3450282934.0,82.44,Wix.com Ltd. Ordinary Shares
FFBC,3447179990.0,32.84,First Financial Bancorp. Common Stock
GPK,3441832036.0,11.62,Graphic Packaging Holding Company
NATL,3430665161.0,46.42,NCR Atleos Corporation Common Stock
CWK,3429167274.0,14.61,Cushman & Wakefield Ltd. Common Shares
AB,3428891068.0,36.84,AllianceBernstein Holding L.P.  Units
TGB,3427808373.0,9.37,Trekor Metals Limited Common Shares
ASH,3424657175.0,74.78,Ashland Inc. Common Stock
DNN,3416647750.0,3.77,Denison Mines Corp Ordinary Shares (Canada)
CSQR,3414330332.0,20.49,Csquare Inc. Common Stock
GBDC,3413120137.0,13.14,Golub Capital BDC Inc. Common Stock
FULTP,3407824950.0,17.85,Fulton Financial Corporation Depositary Shares Each Represen
NMIH,3402103401.0,45.23,NMI Holdings Inc. Common Stock
BTU,3387601000.0,27.79,Peabody Energy Corporation Common Stock 
VGNT,3380613022.0,47.73,Versigent PLC Ordinary Shares
SIG,3380394849.0,85.95,Signet Jewelers Limited Common Shares
OPEN,3379396854.0,3.48,Opendoor Technologies Inc Common Stock
ARLP,3377512246.0,26.25,Alliance Resource Partners L.P. Common Units representing Li
BATRK,3372343827.0,52.55,Atlanta Braves Holdings Inc. Series C Common Stock
SBLK,3360403420.0,30.13,Star Bulk Carriers Corp. Common Shares
PPTA,3360073269.0,26.86,Perpetua Resources Corp. Common Shares
FSK,3357534402.0,12.15,FS KKR Capital Corp. Common Stock
LPL,3345000000.0,3.35,LG Display Co Ltd AMERICAN DEPOSITORY SHARES
EXPO,3342965166.0,70.31,Exponent Inc. Common Stock
ZIM,3339917299.0,27.73,ZIM Integrated Shipping Services Ltd. Ordinary Shares
NESR,3339201575.0,33.11,National Energy Services Reunited Corp Ordinary Shares
AAMI,3336426933.0,94.01,Acadian Asset Management Inc. Common Stock
AGO,3332744382.0,75.78,Assured Guaranty Ltd. Common Stock
SHOO,3331753135.0,45.53,Steven Madden Ltd. Common Stock
IMNM,3326688753.0,29.29,Immunome Inc. Common Stock
CBU,3319800526.0,63.09,Community Financial System Inc. Common Stock
EROK,3319553947.0,25.24,EagleRock Land LLC Class A shares representing limited liabi
FRSH,3318912220.0,12.72,Freshworks Inc. Class A Common Stock
CXW,3318371023.0,33.55,CoreCivic Inc. Common Stock
OSIS,3318001800.0,208.13,OSI Systems Inc. Common Stock (DE)
MGNI,3314532268.0,23.11,Magnite Inc. Common Stock
NAN,3313381168.0,10.96,Nuveen New York Quality Municipal Income Fund Common Stock
BKU,3313368062.0,46.52,BankUnited Inc. Common Stock
SBCF,3310371498.0,34.19,Seacoast Banking Corporation of Florida Common Stock
CSQ,3308977727.0,20.83,Calamos Strategic Total Return Common Stock
DTG,3308600297.0,15.9,DTE Energy Company 2021 Series E 4.375% Junior Subordinated 
DTB,3300276774.0,15.86,DTE Energy Company 2020 Series G 4.375% Junior Subordinated 
SFNC,3296359527.0,22.81,Simmons First National Corporation Class A Common Stock
HTGC,3293150580.0,17.59,Hercules Capital Inc. Common Stock
NVTS,3292388884.0,12.61,Navitas Semiconductor Corporation Common Stock
AAUC,3289307014.0,23.61,Allied Gold Corporation Common Shares
UCTT,3286206765.0,72.58,Ultra Clean Holdings Inc. Common Stock
BTE,3275062560.0,4.62,Baytex Energy Corp Common Shares
ATRO,3273849952.0,76.12,Astronics Corporation Common Stock
CPK,3264616668.0,135.43,Chesapeake Utilities Corporation Common Stock
CARG,3260980030.0,36.61,CarGurus Inc. Class A Common Stock 
EXK,3256756822.0,11.0,Endeavour Silver Corporation Ordinary Shares (Canada)
MBX,3250324879.0,67.49,MBX Biosciences Inc. Common Stock
NAMS,3244238767.0,27.14,NewAmsterdam Pharma Company N.V. Ordinary Shares
DAN,3238058038.0,30.1,Dana Incorporated Common Stock 
WRBY,3229878451.0,26.13,Warby Parker Inc. Class A Common Stock
KYIV,3229782100.0,13.99,Kyivstar Group Ltd. Common Shares
CLSK,3228190608.0,12.57,CleanSpark Inc. Common Stock
LFTO,3210525752.0,18.96,Liftoff Mobile Inc. Common Stock
DX,3210039071.0,12.94,Dynex Capital Inc. Common Stock
PK,3207319597.0,15.93,Park Hotels & Resorts Inc. Common Stock 
AGYS,3201074880.0,113.49,Agilysys Inc. Common Stock (DE)
BSM,3197039882.0,15.03,Black Stone Minerals L.P. Common units representing limited 
CLDX,3196937248.0,40.71,Celldex Therapeutics Inc.
GPI,3196586967.0,268.12,Group 1 Automotive Inc. Common Stock
GRBK,3194619445.0,74.28,Green Brick Partners Inc. Common Stock
IOND,3189421317.0,71.0,Ionic Digital Inc. Class A Common Stock
AVA,3185957653.0,38.04,Avista Corporation Common Stock
XNDU,3185225531.0,10.47,Xanadu Quantum Technologies Limited Class B Subordinate Voti
RWTO,3184066153.0,24.64,Redwood Trust Inc. 9.00% Senior Notes Due 2029
TNET,3183723104.0,69.36,TriNet Group Inc. Common Stock
VCRE,3175608689.0,11.28,Vicore Pharma Holding AB American Depositary Shares
RWTN,3169851572.0,24.53,Redwood Trust Inc. 9.125% Senior Notes Due 2029
ATKR,3168202916.0,93.81,Atkore Inc. Common Stock
AMBP,3167807806.0,5.3,Ardagh Metal Packaging S.A. Ordinary Shares
SHAK,3167763396.0,74.02,Shake Shack Inc. Class A Common Stock
FHB,3166738500.0,26.02,First Hawaiian Inc. Common Stock
IRON,3166257845.0,82.47,Disc Medicine Inc. Common Stock
TMDX,3165421169.0,91.29,TransMedics Group Inc. Common Stock
BEAM,3162668302.0,30.62,Beam Therapeutics Inc. Common Stock
CHRN,3157419959.0,21.68,ChronoScale Holdings Corporation Common Stock
ARQT,3147326703.0,25.04,Arcutis Biotherapeutics Inc. Common Stock
MZTI,3145577620.0,114.71,The Marzetti Company Common Stock
YETI,3138518228.0,43.0,YETI Holdings Inc. Common Stock
PLUG,3129717423.0,2.24,Plug Power Inc. Common Stock
PONY,3123666889.0,7.21,Pony AI Inc. American Depositary Shares 
CWT,3123183796.0,50.51,California Water Service Group Common Stock
SOUN,3122225436.0,7.03,SoundHound AI Inc Class A Common Stock
VTMX,3121352647.0,35.29,Corporacion Inmobiliaria Vesta S.A.B de C.V. American Deposi
GPOR,3119080285.0,176.38,Gulfport Energy Corporation Common Shares
FUL,3115097908.0,57.91,H. B. Fuller Company Common Stock
FIZZ,3114474634.0,33.27,National Beverage Corp. Common Stock
AMBA,3110254317.0,70.9,Ambarella Inc. Ordinary Shares
IPGP,3109487474.0,73.11,IPG Photonics Corporation Common Stock
TRMD,3107874124.0,30.67,TORM plc Class A Common Stock
POWI,3104320437.0,55.56,Power Integrations Inc. Common Stock
TR,3103837287.0,41.34,Tootsie Roll Industries Inc. Common Stock
TARS,3101430742.0,70.67,Tarsus Pharmaceuticals Inc. Common Stock
HAYW,3098006495.0,14.61,Hayward Holdings Inc. Common Stock
WING,3096932629.0,113.68,Wingstop Inc. Common Stock
INTA,3095641048.0,40.46,Intapp Inc. Common Stock
AD,3093240000.0,35.76,Array Digital Infrastructure Inc. Common Shares
