ticker,sector,industry
A,Health Care,Health Care Equipment
AA,Materials,Aluminum
AAL,Industrials,Passenger Airlines
AAON,Industrials,Building Products
AAPL,Information Technology,"Technology Hardware, Storage & Peripherals"
ABBV,Health Care,Pharmaceuticals
ABNB,Consumer Discretionary,"Hotels, Resorts & Cruise lines"
ABT,Health Care,Health Care Equipment
ACGL,Financials,Reinsurance
ACHC,Health Care,Health Care Facilities
ACI,Consumer Staples,Food Retail
ACM,Industrials,Construction & Engineering
ACN,Information Technology,IT Consulting & Other Services
ADBE,Information Technology,Application Software
ADC,Real Estate,
ADI,Information Technology,Semiconductors
ADM,Consumer Staples,Agricultural Products & Services
ADP,Industrials,Human Resource & Employment Services
ADSK,Information Technology,Application Software
ADT,Consumer Discretionary,
AEE,Utilities,Multi-Utilities
AEP,Utilities,Electric Utilities
AES,Utilities,Independent Power Producers & Energy Traders
AFG,Financials,Multi-line Insurance
AFL,Financials,Life & Health Insurance
AFRM,Information Technology,
AGCO,Industrials,Agricultural & Farm Machinery
AGNC,Financials,
AGO,Financials,
AIG,Financials,Property & Casualty Insurance
AIT,Industrials,Trading Companies & Distributors
AIZ,Financials,Multi-line Insurance
AJG,Financials,Insurance Brokers
AKAM,Information Technology,Internet Services & Infrastructure
AL,Industrials,
ALAB,Information Technology,Semiconductors
ALB,Materials,Specialty Chemicals
ALGM,Information Technology,
ALGN,Health Care,Health Care Supplies
ALK,Industrials,Passenger Airlines
ALL,Financials,Property & Casualty Insurance
ALLE,Industrials,Building Products
ALLY,Financials,
ALNY,Health Care,
ALSN,Industrials,
AM,Energy,
AMAT,Information Technology,Semiconductor Materials & Equipment
AMCR,Materials,Paper & Plastic Packaging Products & Materials
AMD,Information Technology,Semiconductors
AME,Industrials,Electrical Components & Equipment
AMG,Financials,Asset Management & Custody Banks
AMGN,Health Care,Biotechnology
AMH,Real Estate,
AMKR,Information Technology,Semiconductors
AMP,Financials,Asset Management & Custody Banks
AMT,Real Estate,Telecom Tower REITs
AMTM,Industrials,Diversified Support Services
AMZN,Consumer Discretionary,Broadline Retail
AN,Consumer Discretionary,Automotive Retail
ANET,Information Technology,Communications Equipment
AON,Financials,Insurance Brokers
AOS,Industrials,Building Products
APA,Energy,Oil & Gas Exploration & Production
APD,Materials,Industrial Gases
APG,Industrials,Construction & Engineering
APH,Information Technology,Electronic Components
APLS,Health Care,Biotechnology
APO,Financials,Asset Management & Custody Banks
APP,Information Technology,Application Software
APPF,Information Technology,Application Software
APTV,Consumer Discretionary,Automotive Parts & Equipment
AR,Energy,
ARE,Real Estate,Office REITs
ARES,Financials,
ARMK,Consumer Discretionary,
ARW,Information Technology,Technology Distributors
AS,Consumer Discretionary,Leisure Products
ASH,Materials,Diversified Chemicals
ASTS,Communication Services,Wireless Telecommunication Services
ATI,Industrials,Aerospace & Defense
ATO,Utilities,Gas Utilities
ATR,Materials,"Metal, Glass & Plastic Containers"
AU,Materials,Gold
AUR,Information Technology,
AVB,Real Estate,Multi-Family Residential REITs
AVGO,Information Technology,Semiconductors
AVT,Information Technology,Technology Distributors
AVTR,Health Care,
AVY,Materials,Paper & Plastic Packaging Products & Materials
AWI,Industrials,
AWK,Utilities,Water Utilities
AXON,Industrials,Aerospace & Defense
AXP,Financials,Consumer Finance
AXS,Financials,
AXTA,Materials,
AYI,Industrials,Electrical Components & Equipment
AZO,Consumer Discretionary,Automotive Retail
BA,Industrials,Aerospace & Defense
BAC,Financials,Diversified Banks
BAH,Industrials,
BALL,Materials,"Metal, Glass & Plastic Containers"
BAM,Financials,Asset Management & Custody Banks
BAX,Health Care,Health Care Equipment
BBWI,Consumer Discretionary,Other Specialty Retail
BBY,Consumer Discretionary,Computer & Electronics Retail
BC,Consumer Discretionary,Leisure Products
BDX,Health Care,Health Care Equipment
BEN,Financials,Asset Management & Custody Banks
BEPC,Utilities,
BF.A,Consumer Staples,Distillers & Vintners
BF.B,Consumer Staples,Distillers & Vintners
BFAM,Consumer Discretionary,
BG,Consumer Staples,Agricultural Products & Services
BHF,Financials,Life & Health Insurance
BIIB,Health Care,Biotechnology
BILL,Information Technology,
BIO,Health Care,Life Sciences Tools & Services
BIRK,Consumer Discretionary,Footwear
BJ,Consumer Staples,Hypermarkets & Super Centers
BK,Financials,Asset Management & Custody Banks
BKNG,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
BKR,Energy,Oil & Gas Equipment & Services
BLD,Consumer Discretionary,
BLDR,Industrials,Building Products
BLK,Financials,Asset Management & Custody Banks
BMRN,Health Care,
BMY,Health Care,Health Care Distributors
BOKF,Financials,
BPOP,Financials,
BR,Industrials,Data Processing & Outsourced Services
BRBR,Consumer Staples,Packaged Foods & Meats
BRK.B,Financials,Multi-Sector Holdings
BRKR,Health Care,Health Care Equipment
BRO,Financials,Insurance Brokers
BROS,Consumer Discretionary,Restaurants
BRX,Real Estate,Retail REITs
BSX,Health Care,Health Care Equipment
BSY,Information Technology,
BURL,Consumer Discretionary,
BWA,Consumer Discretionary,Automotive Parts & Equipment
BWXT,Industrials,
BX,Financials,Asset Management & Custody Banks
BXP,Real Estate,Office REITs
BYD,Consumer Discretionary,Casinos & Gaming
C,Financials,Diversified Banks
CACC,Financials,
CACI,Industrials,Diversified Support Services
CAG,Consumer Staples,Packaged Foods & Meats
CAH,Health Care,Health Care Distributors
CAR,Industrials,Passenger Ground Transportation
CARR,Industrials,Building Products
CART,Consumer Staples,Food Retail
CASY,Consumer Staples,Food Retail
CAT,Industrials,Construction Machinery & Heavy Transportation Equipment
CAVA,Consumer Discretionary,Restaurants
CB,Financials,Property & Casualty Insurance
CBOE,Financials,Financial Exchanges & Data
CBRE,Real Estate,Real Estate Services
CBSH,Financials,Regional Banks
CCCS,Information Technology,
CCI,Real Estate,Telecom Tower REITs
CCK,Materials,
CCL,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
CDNS,Information Technology,Application Software
CDW,Information Technology,Technology Distributors
CE,Materials,Specialty Chemicals
CEG,Utilities,Multi-Utilities
CELH,Consumer Staples,Soft Drinks & Non-alcoholic Beverages
CERT,Health Care,
CF,Materials,Fertilizers & Agricultural Chemicals
CFG,Financials,Regional Banks
CFLT,Information Technology,
CFR,Financials,Regional Banks
CG,Financials,
CGNX,Information Technology,Electronic Equipment & Instruments
CHD,Consumer Staples,Household Products
CHDN,Consumer Discretionary,Casinos & Gaming
CHE,Health Care,Health Care Services
CHH,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
CHRD,Energy,Oil & Gas Exploration & Production
CHRW,Industrials,Air Freight & Logistics
CHTR,Communication Services,Cable & Satellite
CHWY,Consumer Discretionary,Other Specialty Retail
CI,Health Care,Managed Health Care
CIEN,Information Technology,Communications Equipment
CINF,Financials,Property & Casualty Insurance
CIVI,Energy,Oil & Gas Exploration & Production
CL,Consumer Staples,Household Products
CLF,Materials,Steel
CLH,Industrials,Environmental & Facilities Services
CLVT,Industrials,
CLX,Consumer Staples,Household Products
CMA,Financials,Diversified Banks
CMCSA,Communication Services,Cable & Satellite
CME,Financials,Financial Exchanges & Data
CMG,Consumer Discretionary,Restaurants
CMI,Industrials,Industrial Machinery & Supplies & Components
CMS,Utilities,Multi-Utilities
CNA,Financials,
CNC,Health Care,Managed Health Care
CNH,Industrials,
CNM,Industrials,Trading Companies & Distributors
CNP,Utilities,Multi-Utilities
CNXC,Information Technology,Data Processing & Outsourced Services
COF,Financials,Consumer Finance
COHR,Information Technology,Electronic Components
COIN,Financials,
COKE,Consumer Staples,Soft Drinks & Non-alcoholic Beverages
COLB,Financials,Regional Banks
COLD,Real Estate,
COLM,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
COO,Health Care,Health Care Supplies
COOP,Financials,Commercial & Residential Mortgage Finance
COP,Energy,Oil & Gas Exploration & Production
COR,Health Care,Health Care Distributors
CORT,Health Care,Pharmaceuticals
COST,Consumer Staples,Consumer Staples Merchandise Retail
COTY,Consumer Staples,Personal Care Products
CPAY,Financials,Transaction & Payment Processing Services
CPB,Consumer Staples,Packaged Foods & Meats
CPNG,Consumer Discretionary,
CPRT,Industrials,Diversified Support Services
CPT,Real Estate,Multi-Family Residential REITs
CR,Industrials,Industrial Machinery & Supplies & Components
CRH,Materials,Construction Materials
CRL,Health Care,Life Sciences Tools & Services
CRM,Information Technology,Application Software
CROX,Consumer Discretionary,Footwear
CRS,Materials,Steel
CRUS,Information Technology,Semiconductors
CRWD,Information Technology,Application Software
CSCO,Information Technology,Communications Equipment
CSGP,Real Estate,Real Estate Services
CSL,Industrials,Industrial Conglomerates
CSX,Industrials,Rail Transportation
CTAS,Industrials,Diversified Support Services
CTRA,Energy,Oil & Gas Exploration & Production
CTSH,Information Technology,IT Consulting & Other Services
CTVA,Materials,Fertilizers & Agricultural Chemicals
CUBE,Real Estate,
CUZ,Real Estate,Office REITs
CVNA,Consumer Discretionary,Automotive Retail
CVS,Health Care,Health Care Services
CVX,Energy,Integrated Oil & Gas
CW,Industrials,Aerospace & Defense
CWEN,Utilities,
CWEN.A,Utilities,
CXT,Industrials,Industrial Machinery & Supplies & Components
CZR,Consumer Discretionary,Casinos & Gaming
D,Utilities,Electric Utilities
DAL,Industrials,Passenger Airlines
DAR,Consumer Staples,
DASH,Consumer Discretionary,Interactive Media & Services
DAY,Industrials,Human Resource & Employment Services
DBX,Information Technology,
DCI,Industrials,Industrial Machinery & Supplies & Components
DD,Materials,Specialty Chemicals
DDOG,Information Technology,Application Software
DDS,Consumer Discretionary,Broadline Retail
DE,Industrials,Agricultural & Farm Machinery
DECK,Consumer Discretionary,Footwear
DELL,Information Technology,"Technology Hardware, Storage & Peripherals"
DG,Consumer Staples,Consumer Staples Merchandise Retail
DGX,Health Care,Health Care Services
DHI,Consumer Discretionary,Homebuilding
DHR,Health Care,Life Sciences Tools & Services
DINO,Energy,Oil & Gas Refining & Marketing
DIS,Communication Services,Movies & Entertainment
DJT,Communication Services,Interactive Media & Services
DKNG,Consumer Discretionary,
DKS,Consumer Discretionary,Other Specialty Retail
DLB,Information Technology,
DLR,Real Estate,Data Center REITs
DLTR,Consumer Staples,Consumer Staples Merchandise Retail
DNB,Industrials,
DOC,Real Estate,Health Care REITs
DOCS,Health Care,
DOCU,Information Technology,Application Software
DOV,Industrials,Industrial Machinery & Supplies & Components
DOW,Materials,Commodity Chemicals
DOX,Information Technology,
DPZ,Consumer Discretionary,Restaurants
DRI,Consumer Discretionary,Restaurants
DRS,Industrials,Aerospace & Defense
DT,Information Technology,
DTE,Utilities,Multi-Utilities
DTM,Energy,
DUK,Utilities,Electric Utilities
DUOL,Consumer Discretionary,Education Services
DV,Information Technology,
DVA,Health Care,Health Care Facilities
DVN,Energy,Oil & Gas Exploration & Production
DXC,Information Technology,IT Consulting & Other Services
DXCM,Health Care,Health Care Equipment
EA,Communication Services,Interactive Home Entertainment
EBAY,Consumer Discretionary,Broadline Retail
ECG,Industrials,Construction & Engineering
ECL,Materials,Specialty Chemicals
ED,Utilities,Electric Utilities
EEFT,Financials,Transaction & Payment Processing Services
EFX,Industrials,Research & Consulting Services
EG,Financials,Reinsurance
EGP,Real Estate,
EHC,Health Care,Health Care Facilities
EIX,Utilities,Electric Utilities
EL,Consumer Staples,Personal Care Products
ELAN,Health Care,
ELF,Consumer Staples,Personal Care Products
ELS,Real Estate,
ELV,Health Care,Managed Health Care
