ticker_tv,ticker_yf,exchange,market_cap,price,sector,industry,technical_local,tech_score,tv_reco,analyst_bucket,analyst_mean,analyst_votes
PNFP,PNFP,NMS,7531076674.682617,97.09500122070312,Financials,Regional Banks,Neutral,-1,,Buy,2.38462,12.0
PNW,PNW,NYQ,10577649353.553772,88.56999969482422,Utilities,Multi-Utilities,Sell,-2,,Buy,2.26667,13.0
PINS,PINS,NYQ,25133611962.309082,36.96500015258789,Communication Services,Internet Content & Information,Buy,2,,Strong Buy,1.525,36.0
PLNT,PLNT,NYQ,8712013461.583618,101.48999786376953,Consumer Discretionary,Leisure,Strong Sell,-4,,,,16.0
PNC,PNC,NYQ,80332693725.1665,203.99000549316406,Financials,Regional Banks,Strong Buy,4,,,,22.0
POOL,POOL,NMS,11306608049.987793,302.9800109863281,Consumer Discretionary,Distributors,Strong Sell,-4,,Buy,2.25,11.0
BPOP,BPOP,NMS,8492792623.873901,125.66500091552734,Financials,Banks - Regional,Strong Buy,4,,Buy,1.875,8.0
POST,POST,NYQ,6042024905.3489685,111.2300033569336,Consumer Staples,Packaged Foods & Meats,Neutral,1,,Buy,1.9,9.0
PPG,PPG,NYQ,24663367844.39087,109.2750015258789,Materials,Specialty Chemicals,Strong Sell,-6,,Buy,2.25,20.0
PPL,PPL,NYQ,26784616147.996582,36.130001068115234,Utilities,Electric Utilities,Neutral,-1,,Buy,1.92857,13.0
TROW,TROW,NMS,23067878220.558105,104.98999786376953,Financials,Asset Management & Custody Banks,Neutral,-1,,,,12.0
PRI,PRI,NYQ,8686698596.759033,268.17999267578125,Financials,Life & Health Insurance,Neutral,-1,,Hold,2.55556,7.0
PRMB,PRMB,NYQ,9171808072.54956,24.55500030517578,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,Strong Sell,-4,,,,11.0
PFG,PFG,NMS,17766861228.149414,79.75499725341797,Financials,Life & Health Insurance,Neutral,-1,,,,12.0
PCOR,PCOR,NYQ,10198104385.976318,67.9000015258789,Information Technology,Software - Application,Neutral,-1,,Buy,1.85714,17.0
PGR,PGR,NYQ,144570175183.10547,246.5384979248047,Financials,Property & Casualty Insurance,Sell,-3,,Buy,2.14286,18.0
PLD,PLD,NYQ,103298049826.90234,111.30500030517578,Real Estate,Industrial REITs,Buy,2,,Buy,2.04167,20.0
PB,PB,NYQ,6517502760.910034,68.6050033569336,Financials,Regional Banks,Neutral,-1,,Buy,2.0,13.0
PRU,PRU,NYQ,37694857053.28931,107.1050033569336,Financials,Life & Health Insurance,Neutral,1,,,,14.0
PTC,PTC,NMS,25363771378.189087,211.72999572753906,Information Technology,Application Software,Buy,2,,Buy,1.78947,19.0
PSA,PSA,NYQ,51219112547.83984,291.92498779296875,Real Estate,Self-Storage REITs,Neutral,0,,Buy,2.0,19.0
PEG,PEG,NYQ,40593322456.05469,81.3363037109375,Utilities,Electric Utilities,Sell,-2,,Buy,2.38889,14.0
PHM,PHM,NYQ,26453716201.263428,134.0800018310547,Consumer Discretionary,Homebuilding,Strong Buy,4,,Buy,2.0,13.0
PSTG,PSTG,NYQ,25368700737.6709,77.62000274658203,Information Technology,Computer Hardware,Strong Buy,4,,Buy,1.9,18.0
PVH,PVH,NYQ,4132603865.45105,85.96499633789062,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",Strong Buy,4,,Buy,2.0,14.0
QRVO,QRVO,NMS,8352785646.979248,90.1500015258789,Information Technology,Semiconductors,Neutral,1,,Hold,2.73077,21.0
QCOM,QCOM,NMS,168863180731.3125,156.49969482421875,Information Technology,Semiconductors,Neutral,1,,Buy,2.19444,27.0
PWR,PWR,NYQ,55390002017.02881,371.7300109863281,Industrials,Construction & Engineering,Strong Sell,-4,,Buy,1.93103,24.0
QS,QS,NYQ,4434782516.952026,7.835000038146973,Consumer Discretionary,Auto Parts,Strong Sell,-4,,,,8.0
DGX,DGX,NYQ,20010725508.743286,178.9499969482422,Health Care,Health Care Services,Neutral,-1,,Buy,2.16667,16.0
QXO,QXO,NYQ,14481548632.394165,20.579999923706055,Industrials,Industrial Distribution,Neutral,1,,Strong Buy,1.18182,10.0
RL,RL,NYQ,18956503761.19995,312.20001220703125,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",Strong Buy,6,,Buy,1.66667,16.0
RRC,RRC,NYQ,8177097740.780762,34.33000183105469,Energy,Oil & Gas Exploration & Production,Neutral,1,,Hold,2.5,24.0
RJF,RJF,NYQ,33107713808.47168,166.0500030517578,Financials,Investment Banking & Brokerage,Neutral,1,,Buy,2.46154,11.0
RYN,RYN,NYQ,4039434610.13031,25.864299774169922,Real Estate,Timber REITs,Sell,-3,,Buy,2.42857,7.0
RBA,RBA,NYQ,21354705922.097656,114.69000244140625,Industrials,Specialty Business Services,Neutral,1,,Buy,2.0,10.0
RBC,RBC,NYQ,12089106705.24292,383.0199890136719,Industrials,Tools & Accessories,Sell,-2,,,,6.0
O,O,NYQ,52994638871.79346,57.96160125732422,Real Estate,Retail REITs,Neutral,1,,Hold,2.52174,19.0
RDDT,RDDT,NYQ,41054334658.5083,219.35890197753906,Communication Services,Interactive Media & Services,Neutral,0,,Buy,2.07407,26.0
RRX,RRX,NYQ,9632396729.82788,141.72500610351562,Industrials,Electrical Components & Equipment,Strong Sell,-4,,,,10.0
REG,REG,NMS,13146377002.08545,72.26499938964844,Real Estate,Retail REITs,Neutral,1,,Buy,1.8,19.0
REGN,REGN,NMS,60227112750.0,568.25,Health Care,Biotechnology,Sell,-3,,Buy,1.8,23.0
RF,RF,NYQ,23844165128.816406,26.721900939941406,Financials,Regional Banks,Strong Buy,4,,Buy,2.29167,22.0
RGA,RGA,NYQ,12951079908.29773,195.9499969482422,Financials,Reinsurance,Buy,2,,Buy,2.1,9.0
RS,RS,NYQ,15206358911.8042,289.1300048828125,Materials,Steel,Neutral,0,,,,7.0
RGEN,RGEN,NMS,6599860481.347656,117.31500244140625,Health Care,Biotechnology,Strong Sell,-6,,Buy,1.71429,18.0
RSG,RSG,NYQ,72488750752.80762,232.1750030517578,Industrials,Environmental & Facilities Services,Sell,-2,,Buy,1.95455,20.0
RMD,RMD,NYQ,39300718413.381836,268.4200134277344,Health Care,Health Care Equipment,Neutral,0,,Buy,2.05556,14.0
QSR,QSR,NYQ,28597977856.299927,62.71500015258789,Consumer Discretionary,Restaurants,Strong Sell,-4,,Buy,1.90625,28.0
RVMD,RVMD,NMS,7372636947.766602,39.439998626708984,Health Care,Biotechnology,Neutral,0,,Strong Buy,1.3125,15.0
RVTY,RVTY,NYQ,9598076653.381348,82.69000244140625,Health Care,Health Care Equipment,Strong Sell,-6,,,,16.0
REXR,REXR,NYQ,10045135723.617554,41.025001525878906,Real Estate,REIT - Industrial,Strong Buy,4,,Buy,2.4375,16.0
REYN,REYN,NMS,4949998654.626953,23.53499984741211,Consumer Staples,Packaging & Containers,Strong Buy,4,,,,8.0
RH,RH,NYQ,4121315221.0998535,220.00999450683594,Consumer Discretionary,Homefurnishing Retail,Sell,-3,,Buy,2.4,17.0
RNG,RNG,NYQ,2731673386.58786,30.170000076293945,Information Technology,Software - Application,Neutral,0,,,,17.0
RITM,RITM,NYQ,6541151840.229034,12.335000038146973,Financials,REIT - Mortgage,Buy,3,,Strong Buy,1.36364,10.0
RIVN,RIVN,NMS,17770683139.78418,14.64579963684082,Consumer Discretionary,Auto Manufacturers,Buy,2,,Hold,2.65385,24.0
RLI,RLI,NYQ,6182880672.464844,67.33000183105469,Financials,Insurance - Property & Casualty,Neutral,-1,,,,3.0
RHI,RHI,NYQ,3784182073.951721,37.19499969482422,Industrials,Human Resource & Employment Services,Neutral,1,,Hold,3.18182,9.0
HOOD,HOOD,NMS,88918690194.45801,100.05760192871094,Financials,Capital Markets,Sell,-2,,,,21.0
RBLX,RBLX,NYQ,92104793654.48438,132.86000061035156,Communication Services,Electronic Gaming & Multimedia,Strong Buy,6,,Buy,2.0,31.0
RKT,RKT,NYQ,37813014142.31445,17.915000915527344,Financials,Mortgage Finance,Neutral,-1,,Hold,2.76923,12.0
RKLB,RKLB,NCM,21404616093.019775,44.36989974975586,Industrials,Aerospace & Defense,Neutral,1,,Buy,1.84615,10.0
ROK,ROK,NYQ,37837413882.751465,336.5299987792969,Industrials,Electrical Components & Equipment,Strong Sell,-4,,Buy,2.14815,24.0
ROKU,ROKU,NMS,14457591410.3833,98.12999725341797,Communication Services,Entertainment,Strong Buy,4,,Buy,2.03333,26.0
ROL,ROL,NYQ,27304617673.950195,56.34000015258789,Industrials,Environmental & Facilities Services,Neutral,0,,,,11.0
ROP,ROP,NMS,56102408459.106445,521.3300170898438,Industrials,Industrial Conglomerates,Strong Sell,-6,,Buy,1.83333,15.0
ROST,ROST,NMS,49980513332.0,150.875,Consumer Discretionary,Apparel Retail,Buy,2,,Buy,1.63158,17.0
RCL,RCL,NYQ,96210640915.77148,354.20001220703125,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",Strong Buy,4,,Buy,1.76923,23.0
RGLD,RGLD,NMS,11906870735.559082,180.8699951171875,Materials,Precious Metals & Minerals,Strong Buy,6,,Buy,1.71429,7.0
RPRX,RPRX,NMS,21041119970.370117,36.44499969482422,Health Care,Biotechnology,Buy,3,,,,8.0
RPM,RPM,NYQ,15755540206.78711,122.80999755859375,Materials,Specialty Chemicals,Sell,-3,,Buy,1.93333,14.0
RBRK,RBRK,NYQ,16798094572.875,86.81500244140625,Information Technology,Software - Infrastructure,Neutral,-1,,Strong Buy,1.33333,19.0
RYAN,RYAN,NYQ,14569264489.822998,55.06999969482422,Financials,Insurance - Specialty,Strong Sell,-6,,Buy,1.93333,12.0
R,R,NYQ,7556866331.930542,185.25999450683594,Industrials,Cargo Ground Transportation,Strong Buy,4,,Strong Buy,1.5,8.0
SPGI,SPGI,NYQ,163823972546.38672,536.5999755859375,Financials,Financial Exchanges & Data,Sell,-2,,Strong Buy,1.375,21.0
SAIA,SAIA,NMS,7749344594.970703,290.93499755859375,Industrials,Trucking,Sell,-3,,Buy,2.19048,20.0
SAIL,SAIL,NMS,11638275737.79126,20.90999984741211,Information Technology,Application Software,Neutral,0,,Buy,1.83333,19.0
SAIC,SAIC,NMS,5360373436.608887,114.36000061035156,Industrials,Diversified Support Services,Sell,-2,,,,9.0
SLM,SLM,NMS,6421214394.541626,30.799999237060547,Financials,Consumer Finance,Strong Sell,-4,,Strong Buy,1.54545,11.0
IOT,IOT,NYQ,20348069595.611572,35.7400016784668,Information Technology,Systems Software,Neutral,-1,,Buy,1.95,18.0
SNDK,SNDK,NMS,7643879438.75885,52.42499923706055,Information Technology,"Technology Hardware, Storage & Peripherals",Buy,3,,Buy,1.875,15.0
SRPT,SRPT,NMS,1978300760.0708008,18.899999618530273,Health Care,Biotechnology,Neutral,-1,,Hold,2.89286,25.0
SBAC,SBAC,NMS,21532710738.92212,200.52999877929688,Real Estate,Telecom Tower REITs,Strong Sell,-4,,Buy,2.22222,17.0
HSIC,HSIC,NMS,8174676324.09668,67.41000366210938,Health Care,Health Care Distributors,Strong Sell,-4,,Hold,2.66667,13.0
SLB,SLB,NYQ,52596435897.71875,35.260101318359375,Energy,Oil & Gas Equipment & Services,Neutral,-1,,Strong Buy,1.48276,28.0
SNDR,SNDR,NYQ,4255594666.6259766,24.360000610351562,Industrials,Trucking,Strong Sell,-5,,Buy,2.35714,13.0
SMG,SMG,NYQ,3503000756.277466,60.66999816894531,Materials,Fertilizers & Agricultural Chemicals,Sell,-2,,,,7.0
SEB,SEB,ASE,3803248251.4855957,3965.050048828125,Consumer Staples,Conglomerates,Strong Buy,4,,,,
SEE,SEE,NYQ,4736459369.824585,32.20000076293945,Materials,Paper & Plastic Packaging Products & Materials,Buy,2,,,,14.0
SEIC,SEIC,NMS,10759083599.090576,87.02999877929688,Financials,Asset Management & Custody Banks,Strong Sell,-4,,,,6.0
SRE,SRE,NYQ,53470078408.81348,81.94999694824219,Utilities,Multi-Utilities,Buy,3,,Buy,2.13333,12.0
ST,ST,NYQ,4626951350.828247,31.770000457763672,Industrials,Scientific & Technical Instruments,Neutral,-1,,,,14.0
S,S,NYQ,5953199126.450928,17.844999313354492,Information Technology,Software - Infrastructure,Neutral,-1,,Buy,1.8,32.0
SCI,SCI,NYQ,10962560543.21289,78.16999816894531,Consumer Discretionary,Specialized Consumer Services,Sell,-2,,Strong Buy,1.2,5.0
NOW,NOW,NYQ,189236588461.58203,911.9000244140625,Information Technology,Systems Software,Neutral,-1,,Strong Buy,1.44444,40.0
SN,SN,NYQ,16599945568.496704,117.61499786376953,Consumer Discretionary,Household Appliances,Buy,3,,Strong Buy,1.27273,10.0
SHW,SHW,NYQ,90283477925.00781,362.1000061035156,Materials,Specialty Chemicals,Sell,-3,,Buy,2.07407,21.0
FOUR,FOUR,NYQ,7913296515.783691,88.41000366210938,Information Technology,Software - Infrastructure,Sell,-2,,Strong Buy,1.54545,21.0
SLGN,SLGN,NYQ,4800775795.719147,44.869998931884766,Materials,"Metal, Glass & Plastic Containers",Strong Sell,-4,,Strong Buy,1.36364,11.0
SPG,SPG,NYQ,67727519437.54443,179.5500030517578,Real Estate,Retail REITs,Strong Buy,4,,Buy,2.25,20.0
SSD,SSD,NYQ,7882171521.643066,187.61000061035156,Industrials,Building Products,Neutral,-1,,,,3.0
SIRI,SIRI,NMS,7805599261.894226,23.179899215698242,Communication Services,Broadcasting,Neutral,1,,,,14.0
SITE,SITE,NYQ,6351049763.22937,142.36000061035156,Industrials,Industrial Distribution,Buy,2,,Buy,2.18182,10.0
SKX,SKX,NYQ,9491432137.069702,63.15999984741211,Consumer Discretionary,Footwear,Strong Buy,4,,Hold,2.64286,10.0
SWKS,SWKS,NMS,10881256317.626953,73.30999755859375,Information Technology,Semiconductors,Neutral,-1,,,,19.0
SFD,SFD,NMS,9458298377.575012,24.059999465942383,Consumer Staples,Packaged Foods & Meats,Sell,-3,,Strong Buy,1.57143,6.0
SJM,SJM,NYQ,11922848854.942322,111.75499725341797,Consumer Staples,Packaged Foods & Meats,Buy,2,,Buy,2.36842,16.0
SNA,SNA,NYQ,16764795890.112305,321.3900146484375,Industrials,Industrial Machinery & Supplies & Components,Sell,-3,,Hold,2.7,8.0
SNOW,SNOW,NYQ,76140750930.55664,228.1999969482422,Information Technology,Software - Application,Buy,2,,Buy,1.60784,47.0
SOFI,SOFI,NMS,29373448929.743652,24.53499984741211,Financials,Credit Services,Buy,2,,Hold,2.81818,18.0
SOLV,SOLV,NYQ,12333087963.775635,71.12999725341797,Health Care,Health Care Equipment,Strong Sell,-4,,Hold,2.63636,7.0
SGI,SGI,NYQ,17779612287.841797,84.70999908447266,Consumer Discretionary,Home Furnishings,Strong Buy,4,,,,9.0
SON,SON,NYQ,4536537523.130615,45.994998931884766,Materials,Paper & Plastic Packaging Products & Materials,Sell,-3,,,,10.0
SHC,SHC,NMS,4516347318.844666,15.899999618530273,Health Care,Diagnostics & Research,Buy,2,,,,6.0
SO,SO,NYQ,100566573373.9082,91.41999816894531,Utilities,Electric Utilities,Sell,-2,,Buy,2.36842,17.0
SCCO,SCCO,NYQ,81814885752.73096,100.73380279541016,Materials,Copper,Strong Buy,4,,Hold,3.26667,14.0
SSB,SSB,NYQ,10210975948.226929,100.88999938964844,Financials,Regional Banks,Strong Buy,4,,Strong Buy,1.58333,12.0
LUV,LUV,NYQ,16960945498.35205,32.29499816894531,Industrials,Passenger Airlines,Neutral,1,,Hold,2.95455,20.0
SPR,SPR,NYQ,4812417786.66687,40.98500061035156,Industrials,Aerospace & Defense,Buy,3,,,,10.0
SFM,SFM,NMS,13335717908.120728,136.4600067138672,Consumer Staples,Food Retail,Strong Sell,-4,,Buy,2.0,13.0
SSNC,SSNC,NMS,21132442139.63867,86.52999877929688,Information Technology,Software - Application,Neutral,-1,,Buy,1.7,9.0
STAG,STAG,NYQ,6947055338.195801,36.43000030517578,Real Estate,REIT - Industrial,Buy,2,,,,11.0
SARO,SARO,NYQ,8903592106.618408,26.6200008392334,Industrials,Aerospace & Defense,Neutral,0,,,,9.0
SWK,SWK,NYQ,11304459571.044922,73.02999877929688,Industrials,Industrial Machinery & Supplies & Components,Neutral,-1,,Buy,2.47368,15.0
SBUX,SBUX,NMS,98563258734.04004,86.70999908447266,Consumer Discretionary,Restaurants,Strong Sell,-6,,Buy,2.26471,29.0
STWD,STWD,NYQ,7583755914.868042,20.1299991607666,Financials,REIT - Mortgage,Neutral,1,,Buy,2.125,7.0
STT,STT,NYQ,31771003339.88208,111.98999786376953,Financials,Asset Management & Custody Banks,Neutral,-1,,,,14.0
STLD,STLD,NMS,18993123194.33203,129.02499389648438,Materials,Steel,Neutral,1,,Strong Buy,1.46154,13.0
STE,STE,NYQ,23802223121.658325,241.6699981689453,Health Care,Health Care Equipment,Neutral,-1,,Buy,2.125,8.0
SF,SF,NYQ,11497016980.903625,112.5250015258789,Financials,Investment Banking & Brokerage,Neutral,-1,,Buy,2.16667,6.0
SYK,SYK,NYQ,147807533566.22656,386.6199951171875,Health Care,Health Care Equipment,Neutral,1,,Buy,1.90323,27.0
SMMT,SMMT,NGM,17412333514.163086,23.440000534057617,Health Care,Biotechnology,Neutral,0,,Strong Buy,1.53846,11.0
SUI,SUI,NYQ,16239777367.401123,125.83999633789062,Real Estate,REIT - Residential,Neutral,-1,,Buy,2.23529,17.0
SMCI,SMCI,NMS,23848177087.87207,40.130001068115234,Information Technology,"Technology Hardware, Storage & Peripherals",Strong Sell,-4,,,,16.0
SYF,SYF,NYQ,27915510085.347656,75.02999877929688,Financials,Consumer Finance,Strong Buy,4,,,,21.0
SNPS,SNPS,NMS,109143579558.83789,589.8250122070312,Information Technology,Application Software,Sell,-2,,Strong Buy,1.36364,22.0
SNV,SNV,NYQ,7103988762.359619,51.18000030517578,Financials,Regional Banks,Buy,3,,Buy,2.13333,14.0
SYY,SYY,NYQ,38694524417.81616,80.91500091552734,Consumer Staples,Food Distributors,Strong Buy,4,,Buy,1.94118,15.0
TTWO,TTWO,NMS,43873882499.08447,237.83749389648438,Communication Services,Interactive Home Entertainment,Strong Buy,4,,Strong Buy,1.37037,27.0
TLN,TLN,NMS,17296454858.840942,378.6000061035156,Utilities,Independent Power Producers & Energy Traders,Buy,2,,Strong Buy,1.38462,13.0
TPR,TPR,NYQ,21560606034.057617,103.59500122070312,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",Buy,3,,Buy,1.75,18.0
TRGP,TRGP,NYQ,35216169486.572266,163.64999389648438,Energy,Oil & Gas Storage & Transportation,Sell,-3,,Strong Buy,1.33333,19.0
TGT,TGT,NYQ,42109155239.33057,92.66999816894531,Consumer Staples,Consumer Staples Merchandise Retail,Strong Sell,-6,,Hold,2.68571,31.0
SNX,SNX,NYQ,12261294589.615234,147.19000244140625,Information Technology,Technology Distributors,Neutral,-1,,Buy,1.63636,11.0
FTI,FTI,NYQ,15797400524.44458,38.45000076293945,Energy,Oil & Gas Equipment & Services,Strong Buy,4,,Buy,1.78261,22.0
TDY,TDY,NYQ,25313928937.5,539.875,Industrials,Aerospace & Defense,Neutral,1,,Strong Buy,1.4,10.0
TFX,TFX,NYQ,5568734822.406006,126.01000213623047,Health Care,Health Care Equipment,Buy,2,,Hold,3.0,8.0
TEM,TEM,NMS,13172056906.982422,75.81999969482422,Health Care,Health Information Services,Strong Buy,4,,Buy,2.15385,11.0
THC,THC,NYQ,16405013032.89795,185.67999267578125,Health Care,Health Care Facilities,Strong Buy,4,,,,21.0
TDC,TDC,NYQ,1965165358.543396,20.795400619506836,Information Technology,IT Consulting & Other Services,Sell,-3,,,,9.0
TER,TER,NMS,18894809525.81787,118.77999877929688,Information Technology,Semiconductor Materials & Equipment,Strong Buy,4,,Buy,1.94118,16.0
TTEK,TTEK,NMS,9436178102.624023,35.90999984741211,Industrials,Environmental & Facilities Services,Strong Sell,-4,,,,5.0
TXN,TXN,NMS,176386219156.4668,194.01499938964844,Information Technology,Semiconductors,Sell,-2,,,,33.0
TPL,TPL,NYQ,21026483590.60669,914.7000122070312,Energy,Oil & Gas Exploration & Production,Neutral,-1,,,,
TXRH,TXRH,NMS,11408903676.23291,171.69000244140625,Consumer Discretionary,Restaurants,Sell,-2,,Buy,2.2963,22.0
TXT,TXT,NYQ,14144130704.494629,79.37000274658203,Industrials,Aerospace & Defense,Neutral,-1,,,,15.0
TMO,TMO,NYQ,183081400697.14355,484.8399963378906,Health Care,Life Sciences Tools & Services,Neutral,0,,Buy,1.68966,25.0
TFSL,TFSL,NMS,3848232490.7073975,13.710000038146973,Financials,Banks - Regional,Strong Buy,4,,,,1.0
THO,THO,NYQ,5734775390.203857,108.48249816894531,Consumer Discretionary,Leisure Products,Buy,2,,Hold,2.66667,12.0
TKR,TKR,NYQ,5251778885.040283,75.41000366210938,Industrials,Industrial Machinery & Supplies & Components,Sell,-3,,Buy,2.41667,10.0
TJX,TJX,NYQ,154999163011.6328,139.27000427246094,Consumer Discretionary,Apparel Retail,Strong Buy,6,,Strong Buy,1.47619,18.0
TKO,TKO,NYQ,15325853316.000366,186.02000427246094,Communication Services,Movies & Entertainment,Buy,2,,Strong Buy,1.47368,17.0
TOST,TOST,NYQ,24803733932.495117,42.54499816894531,Information Technology,Transaction & Payment Processing Services,Sell,-2,,,,24.0
TOL,TOL,NYQ,13567352936.172485,140.76499938964844,Consumer Discretionary,Homebuilding,Strong Buy,6,,Buy,1.82353,16.0
BLD,BLD,NYQ,11662547638.952637,414.4649963378906,Consumer Discretionary,Engineering & Construction,Neutral,-1,,,,12.0
TTC,TTC,NYQ,7944166328.0,80.5,Industrials,Agricultural & Farm Machinery,Buy,2,,Buy,2.16667,5.0
TPG,TPG,NMS,21284454576.0,57.75,Financials,Asset Management,Sell,-2,,,,11.0
TSCO,TSCO,NMS,32048846391.35742,60.474998474121094,Consumer Discretionary,Other Specialty Retail,Neutral,-1,,Buy,2.21875,27.0
TTD,TTD,NGM,26121779829.36609,53.43000030517578,Communication Services,Advertising,Sell,-2,,Buy,2.13158,33.0
TW,TW,NMS,27502728426.12671,125.9000015258789,Financials,Capital Markets,Sell,-2,,Buy,2.0,15.0
TDG,TDG,NYQ,72017939613.1836,1278.0400390625,Industrials,Aerospace & Defense,Sell,-2,,Strong Buy,1.57143,20.0
TRU,TRU,NYQ,16959287524.414062,87.05999755859375,Industrials,Financial Data & Stock Exchanges,Strong Sell,-4,,Buy,1.7619,20.0
TNL,TNL,NYQ,4050611183.2740784,62.310001373291016,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",Strong Buy,4,,Buy,1.66667,12.0
TRV,TRV,NYQ,61981640990.356445,275.30999755859375,Financials,Property & Casualty Insurance,Strong Buy,6,,Buy,2.43478,20.0
TREX,TREX,NYQ,6409912513.626099,59.775001525878906,Industrials,Building Products,Strong Sell,-4,,,,17.0
TRMB,TRMB,NMS,18647250358.364746,78.36000061035156,Information Technology,Electronic Equipment & Instruments,Sell,-2,,,,8.0
TFC,TFC,NYQ,59519650058.59375,46.1593017578125,Financials,Regional Banks,Strong Buy,4,,Buy,2.18182,21.0
DJT,DJT,NGM,4722637933.382751,16.87470054626465,Communication Services,Interactive Media & Services,Strong Sell,-6,,,,
TWLO,TWLO,NYQ,16104432499.526978,104.95999908447266,Information Technology,Software - Infrastructure,Neutral,0,,Buy,1.92857,26.0
TYL,TYL,NYQ,23863207823.80371,551.5999755859375,Information Technology,Application Software,Strong Sell,-6,,Buy,1.84211,18.0
TSN,TSN,NYQ,20079601419.90564,56.439998626708984,Consumer Staples,Packaged Foods & Meats,Neutral,1,,Buy,2.46154,11.0
UHAL,UHAL,NYQ,9834688167.56836,57.220001220703125,Industrials,Rental & Leasing Services,Sell,-2,,,,2.0
UHAL.B,UHAL-B,NYQ,9768750744.751465,51.56999969482422,Industrials,Rental & Leasing Services,Strong Sell,-6,,,,1.0
USB,USB,NYQ,75109507083.45703,48.26499938964844,Financials,Diversified Banks,Strong Buy,4,,Buy,2.0,22.0
UBER,UBER,NYQ,193683385472.0,92.875,Industrials,Passenger Ground Transportation,Neutral,-1,,Buy,1.61111,49.0
UI,UI,NYQ,32540435473.59619,537.8699951171875,Information Technology,Communication Equipment,Strong Buy,6,,Hold,3.0,2.0
UDR,UDR,NYQ,14205178726.501465,38.19499969482422,Real Estate,Multi-Family Residential REITs,Strong Sell,-4,,Buy,2.38095,21.0
UGI,UGI,NYQ,7307416000.0,34.0,Utilities,Gas Utilities,Strong Sell,-4,,,,3.0
PATH,PATH,NYQ,5807848186.918579,10.854999542236328,Information Technology,Software - Infrastructure,Strong Sell,-4,,Hold,2.71429,15.0
ULTA,ULTA,NMS,23850889783.59375,531.9299926757812,Consumer Discretionary,Other Specialty Retail,Strong Buy,4,,Buy,2.22222,22.0
RARE,RARE,NMS,3053052317.4102783,31.68000030517578,Health Care,Biotechnology,Neutral,0,,,,20.0
UAA,UAA,NYQ,2147232419.3000793,5.074999809265137,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",Sell,-2,,,,20.0
UA,UA,NYQ,2139071839.077942,4.914999961853027,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",Strong Sell,-4,,,,
UNP,UNP,NYQ,132298503308.61719,220.31500244140625,Industrials,Rail Transportation,Sell,-3,,Buy,2.03704,25.0
UAL,UAL,NMS,34276743270.843506,105.87999725341797,Industrials,Passenger Airlines,Strong Buy,4,,Strong Buy,1.45455,20.0
UPS,UPS,NYQ,72232036065.33398,85.22250366210938,Industrials,Air Freight & Logistics,Strong Sell,-4,,Buy,2.19355,30.0
URI,URI,NYQ,60689836900.0,943.25,Industrials,Trading Companies & Distributors,Buy,2,,Buy,2.28571,18.0
UTHR,UTHR,NMS,18151123076.376343,401.3399963378906,Health Care,Biotechnology,Strong Buy,4,,Buy,1.85714,12.0
UWMC,UWMC,NYQ,10018948891.89441,5.664999961853027,Financials,Mortgage Finance,Neutral,0,,,,8.0
U,U,NYQ,16860573930.74414,39.150001525878906,Information Technology,Software - Application,Buy,2,,Buy,2.18519,22.0
OLED,OLED,NMS,6547360969.113159,137.74000549316406,Information Technology,Semiconductors,Strong Sell,-4,,,,9.0
UHS,UHS,NYQ,11569515854.2099,181.8000030517578,Health Care,Health Care Facilities,Buy,2,,,,16.0
UNM,UNM,NYQ,12390270168.0,72.75,Financials,Life & Health Insurance,Buy,2,,Buy,1.84615,13.0
USFD,USFD,NYQ,17310097500.0,76.875,Consumer Staples,Food Distribution,Sell,-2,,Strong Buy,1.4375,15.0
MTN,MTN,NYQ,5958130206.591797,160.3699951171875,Consumer Discretionary,Resorts & Casinos,Neutral,0,,,,11.0
VLO,VLO,NYQ,48085820994.32373,154.7899932861328,Energy,Oil & Gas Refining & Marketing,Strong Buy,4,,Buy,1.95,18.0
VMI,VMI,NYQ,7236134220.474243,366.6000061035156,Industrials,Industrial Machinery & Supplies & Components,Neutral,-1,,Buy,2.0,3.0
VVV,VVV,NYQ,4871682471.981049,38.32500076293945,Materials,Commodity Chemicals,Neutral,-1,,,,12.0
VEEV,VEEV,NYQ,44293675979.00391,270.2349853515625,Health Care,Health Information Services,Strong Sell,-4,,Buy,2.09677,29.0
VTR,VTR,NYQ,30694972296.400635,67.54000091552734,Real Estate,Health Care REITs,Neutral,-1,,Strong Buy,1.5,18.0
VLTO,VLTO,NYQ,25952676997.756348,104.58000183105469,Industrials,Pollution & Treatment Controls,Sell,-2,,Buy,1.94444,17.0
VRSN,VRSN,NMS,25489339224.09668,272.8800048828125,Information Technology,Internet Services & Infrastructure,Buy,3,,Buy,2.0,3.0
VRSK,VRSK,NMS,37316480975.06836,267.0899963378906,Industrials,Research & Consulting Services,Sell,-2,,Buy,2.35294,16.0
VZ,VZ,NYQ,183831545566.40625,43.599998474121094,Communication Services,Integrated Telecommunication Services,Neutral,-1,,Buy,2.26923,23.0
